video_id,nb_textbloc
7204870147855748357,0
7200418269629582597,0
7197448084119506182,0
7197086542479854854,1
7195607365813636357,0
7193751547749223685,0
7192254185969044742,0
7191515883330669830,1
7189927984172666118,0
7185200340310969605,0
7184831364422814981,0
7184457014217657606,0
7174022295978003717,1
7161523791154236677,0
7130169267454070021,0
7125392158063955205,0
7113472331917298949,2
7078216427131473157,0
7070486062182731013,0
7050156581652106502,3
6927547229486058757,0
6913929490305420545,0
6896455617523813633,1
6894530886105042178,2
6886076315288554754,3
6885984385670122753,2
6885735124013550850,2
6880792115329142018,4
6880117942432959746,2
6875699019520298242,2
6875610422578351362,0
6860766213992090886,1
6834420537545084166,2
6825975879940820230,0
6750983141873224966,0
6739804771013774597,0
7606360801234013462,2
7603412461068291350,1
7602968538319539478,0
7594911702613773590,3
7593727684606168342,8
7593661214027156758,5
7593403675297467651,0
7592281951206133014,51
7592263862284586263,4
7590184087122660630,1
7587134900852100374,1
7587070120556580118,3
7584105481719844118,2
7583420207629225238,3
7581507576219618582,1
7580065942730738966,8
7579287270092459286,0
7577374333048196374,0
7577096797580053782,0
7577088828171734294,1
7575170897451945238,2
7575105754374458646,4
7574759080368114966,7
7572605667299708182,14
7571893908754451734,1
7571134268403895574,5
7566941841996647702,15
7566313596351778070,0
7565953021411216662,11
7564069366606679318,1
7494193739187916054,1
7493955664008498454,2
7493248933460741378,4
7485818484723567894,6
7484305196332436758,0
7483220883759303959,4
7482898265906646294,3
7480938335133863190,2
7480244111207976214,0
7476157177149803798,2
7463500754318347542,1
7459503727737687318,2
7458336545490193686,0
7451599218545970454,3
7429021024517229857,2
7421927684965502240,4
7421838132624002336,0
7418230327207939360,0
7348413567797841185,1
7345515480288922912,0
7345144791094660384,3
7342536344561896737,1
7340684346040290593,3
7338070752501026081,2
7329560864518901024,4
7327333280297127201,4
7324741085438397729,7
7319902152686718241,9
7312851563037330721,3
7302473271067397409,0
7301350531325365537,0
7298393830204640545,0
7296889866002910497,1
7296154996683410720,2
7294659855434911008,1
7294284376454532384,2
7293541624359996704,4
7293173989143366945,0
7291678102948810016,2
7290947930108857633,4
7287983702959869217,2
7286863155026808096,1
7278768931857354016,0
7264884699636469025,0
7262465807949647136,7
7239729661788359962,5
7228976565445512475,1
7221177538855423258,1
7216365794093976838,8
7215252214514715909,3
7210817231368785158,0
7210074063765638406,9
7208952610336820485,0
7207842110316268805,3
7204874673367125254,0
7204395621468392709,13
7203763760538897669,0
7203019203857665286,4
7202277032938540294,0
7199677935949778181,5
7198558888940113158,4
7198194674354457861,0
7197080264625966341,0
7194859372227480838,1
7192617192850984198,2
7190456972418862342,2
7188189006851575046,0
7187436390131453190,1
7184459390143974662,0
7183477138249485594,0
